9009190100,,,
,V1,V2,V3
1,1979,0,0
2,1980,4,3299.75
3,1981,0,0
4,1982,10,17139.74
5,1983,0,0
6,1984,3,11949.99
7,1985,3,51800.98
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,1,0
13,1991,1,2831.57
14,1992,17,108271.1
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,1,886.55
19,1997,1,4790.86
20,1998,1,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,1,1108.74
25,2003,0,0
26,2004,1,0
27,2005,0,0
28,2006,0,0
29,2007,4,80577.54
30,2008,1,3197.16
31,2009,0,0
32,2010,6,73060.2
33,2011,48,1443479.61
34,2012,47,1772023.88
35,2013,0,0
36,2014,0,0
37,2015,1,0
38,2016,0,0
39,2017,0,0
40,2018,2,192415.14
41,2019,1,106387.47
42,2020,0,0
43,2021,3,158880.28
